class;fieldName;fieldLabel;dataType;mandatory;maxLength;displayClass;displayedLength;defaultValue;connectedClass;fieldsOfConnectedClass
employee;PK;Primärer Schlüssel;numeric;Y;11;system;100;;;
employee;LK;ID;numeric;Y;11;system;100;;;
employee;histtop;historischer Stand;alphanumeric;Y;2;system;100;Y;;
employee;editTime;letzte Bearbeitung;datetime;Y;40;system;100;;;
employee;editor;letzter Bearbeiter;lk;Y;11;system;100;;User;userid
employee;firstEditTime;Erfassungszeitpunkt;datetime;Y;40;system;100;;;
employee;firstEditor;Erfasser;lk;Y;11;system;100;;User;userid
employee;firstName;Vorname;alphanumeric;Y;400;everyone;100;;;
employee;lastName;Nachname;alphanumeric;Y;400;everyone;100;;;
employee;position;Position;alphanumeric;Y;400;everyone;100;;;
employee;graduation;Abschluss;alphanumeric;Y;400;everyone;100;;;
employee;email;Email;alphanumeric;Y;400;everyone;100;;;
employee;picture;Bild;alphanumeric;Y;400;everyone;100;;;
employee;description;Beschreibung;text;Y;2000;everyone;100;;;
