class;fieldName;fieldLabel;dataType;mandatory;maxLength;displayClass;displayedLength;defaultValue;connectedClass;fieldsOfConnectedClass
medoffer;PK;Primärer Schlüssel;numeric;Y;11;system;150;;;
medoffer;LK;ID;numeric;Y;11;system;150;;;
medoffer;histtop;historischer Stand;alphanumeric;Y;2;system;100;;;
medoffer;editTime;letzte Bearbeitung;datetime;Y;40;system;100;;;
medoffer;editor;letzter Bearbeiter;Lk;Y;11;system;100;;user;userid
medoffer;firstEditTime;Erfassungszeitpunkt;datetime;Y;40;system;100;;;
medoffer;firstEditor;Erfasser;Lk;Y;11;system;100;;user;userid
medoffer;name;Artikel;alphanumeric;Y;400;everyone;200;;;
medoffer;FK_vendor;Hersteller;Lk;Y;11;everyone;200;;vendor;name
medoffer;pzn;PZN;numeric;Y;5;everyone;100;;;
medoffer;price;AEK;currency;Y;10;everyone;100;;;
medoffer;mwst;Mehrwertsteuer;percent;Y;10;everyone;100;;;
medoffer;amount;Menge;numeric;Y;11;everyone;100;;;
medoffer;unit;Einheit;alphanumeric;Y;10;everyone;100;;;
medoffer;dosage;Darreichungsform;alphanumeric;Y;10;everyone;100;;;
medoffer;type;RX/Non-RX;alphanumeric;Y;10;everyone;100;;;
medoffer;offerAmount;ang. Menge;numeric;Y;11;everyone;100;;;
medoffer;rabatt;Rabatt;percent;Y;3;everyone;100;;;
