class;fieldName;fieldLabel;dataType;mandatory;maxLength;displayClass;displayedLength;defaultValue;connectedClass;fieldsOfConnectedClass
backupResult;PK;Primärer Schlüssel;numeric;Y;11;system;50;;;
backupResult;LK;ID;numeric;Y;11;system;50;;;
backupResult;histtop;historischer Stand;alphanumeric;Y;2;system;50;Y;;
backupResult;editTime;letzte Bearbeitung;datetime;Y;40;system;100;;;
backupResult;editor;letzter Bearbeiter;lk;Y;11;system;100;;User;userid
backupResult;firstEditTime;Erfassungszeitpunkt;datetime;Y;40;system;100;;;
backupResult;firstEditor;Erfasser;lk;Y;11;system;100;;User;userid
backupResult;type;Typ;LK;Y;11;everyone;100;;backupType;name
backupResult;date;Datum;datetime;Y;40;everyone;100;;;
backupResult;node;nodename;Server;Y;400;everyone;100;;;
backupResult;state;Status;LK;Y;11;everyone;100;;backupState;name
backupResult;reason;Begründung;alphanumeric;N;400;everyone;150;;;
